instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
nursesched-medium-hint03,1,11.0,1.8872341776250588e-11,1,13.593255996704102,1,1.0,1.0
nursesched-medium-hint03,1,101.0,9.954271457458393e-12,1,14.764755010604858,1,1.0,1.0
radiationm40-10-02,0,0.0,1.7109846014159992e-07,1,1801.9943900108337,0,1.0,1.0
radiationm40-10-02,1,1.01,0.003944397766894481,0,3603.911992073059,2,1.0,2173639.3464590185
reblock420,0,0.0,1.9384339562568687e-08,1,5.7778542041778564,0,1.0,1.0
reblock420,1,1.01,8.21307085823505e-12,1,9.732838869094849,1,186.2521122456965,27446.88359085606
reblock420,1,1.1,1.4159518736319237e-11,1,15.177601099014282,1,202.8488351190754,29892.645494991753
reblock420,1,11.0,3.7105224067239745e-11,1,7.0703980922698975,1,2028.488351190754,298926.4549499175
reblock420,1,101.0,1.2479135526395683e-10,1,6.063393831253052,1,18625.211224569648,2744688.3590856064
sct1,0,0.0,4.381020975133406e-08,1,187.09398698806763,0,1.0,1.0
sct1,1,1.01,2.8387058957551408e-11,1,2460.30287194252,1,1.0,2.854198841432676
sct1,1,1.1,5.35272378684819e-08,0,3600.296895980835,2,1.0,3.1085333916593503
sct1,1,11.0,6.865745229301459e-08,0,3601.2482221126556,2,2.3474792280262786,31.085333916593502
sct1,1,101.0,1.9816093611573577e-10,0,3601.224921941757,1,21.554127457332193,285.4198841432676
t1717,0,0.0,2.0182239637794334e-08,1,199.71022701263428,0,1.0,1.0
t1717,1,1.01,5.097787404570833e-11,1,228.82445001602173,1,1.0,3.090764225199921
t1717,1,1.1,3.6271636256480056e-11,1,154.87846183776855,1,1.0,3.366178859128627
t1717,1,11.0,2.2976322758159037e-13,1,383.98967599868774,1,1.0,33.66178859128627
t1717,1,101.0,1.269113245400391e-11,1,172.30444812774658,1,1.0,309.0764225199921
t1722,0,0.0,1.7524484392389774e-08,1,35.332777976989746,0,1.0,1.0
t1722,1,1.01,8.278621726180748e-10,1,19.757801055908203,1,1.0,2.413835806968305
t1722,1,1.1,7.779890728935161e-10,1,20.494291067123413,1,1.0,2.6289300867971637
t1722,1,11.0,4.5851139483718e-12,1,42.78376293182373,1,1.0,26.289300867971633
t1722,1,101.0,7.346116867855637e-12,1,24.364282846450806,1,1.0,241.38358069683045
triptim7,0,0.0,3.4838726962308832e-09,1,658.1110107898712,0,1.0,1.0
triptim7,1,1.01,0.0003187259924627193,0,3600.9949338436127,2,1.0,1.0
triptim7,1,1.1,0.0002702596057476257,0,3600.8707468509674,2,1.0,1.0
triptim7,1,11.0,0.00043550125725688894,0,3600.7570719718933,2,1.6551742638184805,2.608093197132182
triptim7,1,101.0,1.629359870441777e-05,0,3600.716945886612,2,15.197509149606049,23.94703753730458
var-smallemery-m6j6,0,0.0,1.1875502795835892e-08,1,186.0165309906006,0,1.0,1.0
var-smallemery-m6j6,1,1.01,2.5550619915046293e-11,1,228.7410318851471,1,1.2701326919223461,1.0
var-smallemery-m6j6,1,1.1,1.4778032149705268e-11,1,264.4466509819031,1,1.383312832786714,1.0
var-smallemery-m6j6,1,11.0,5.9877188649786915e-12,1,263.5555498600006,1,13.833128327867136,1.0
var-smallemery-m6j6,1,101.0,5.6999803629047824e-11,1,266.1297161579132,1,127.01326919223462,2.5998076600728877
